Country,Sex,Age,age_categories,Continent,Year,UnemploymentRate
Haiti,Female,15-24,Youth,North America,2014,0.573235918235784
Haiti,Female,25+,Adults,North America,2014,0.15666550269950846
Haiti,Male,15-24,Youth,North America,2014,0.3606865615514787
Haiti,Male,25+,Adults,North America,2014,0.10392436004190282
Honduras,Total,15-24,Youth,North America,2014,0.15905611217061968
Honduras,Female,15-24,Youth,North America,2014,0.23594509656450616
Honduras,Female,25+,Adults,North America,2014,0.091528109806871
Honduras,Male,15-24,Youth,North America,2014,0.12439227483950684
Honduras,Male,25+,Adults,North America,2014,0.058126729162749476
Honduras,Total,25+,Adults,North America,2014,0.07037524510462276
Hong Kong,Female,15-24,Youth,Asia,2014,0.10815493298235247
Hong Kong,Female,25+,Adults,Asia,2014,0.03346853259555723
Hong Kong,Male,15-24,Youth,Asia,2014,0.13983722366971985
Hong Kong,Male,25+,Adults,Asia,2014,0.039606220956781006
Hong Kong,Total,25+,Adults,Asia,2014,0.036664965483896965
Hong Kong,Total,15-24,Youth,Asia,2014,0.12384162883773403
Hungary,Male,15-24,Youth,Europe,2014,0.2677348303741707
Hungary,Total,15-24,Youth,Europe,2014,0.27352332858792877
Hungary,Total,25+,Adults,Europe,2014,0.08967471594724544
Hungary,Female,25+,Adults,Europe,2014,0.09262940181041662
Hungary,Female,15-24,Youth,Europe,2014,0.2803996884149454
Hungary,Male,25+,Adults,Europe,2014,0.08684090359665853
Iceland,Male,15-24,Youth,Europe,2014,0.16809476483386607
Iceland,Male,25+,Adults,Europe,2014,0.044669478095033445
Iceland,Female,25+,Adults,Europe,2014,0.058449058529640864
Iceland,Total,15-24,Youth,Europe,2014,0.13108060920250345
Iceland,Total,25+,Adults,Europe,2014,0.05198904080152569
